epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,497.257,0.60412,0.80148,1.09784,0.99233,0.96226,0.98715,0.90056,0.40841,0.89057,0.91652,0.0005546,0.0005546,0.0005546
75,503.989,0.53293,0.71964,1.00476,0.99613,0.96226,0.98888,0.91026,0.39631,0.88762,0.90991,0.0005348,0.0005348,0.0005348
76,510.618,0.54608,0.82688,1.03821,0.99728,0.96226,0.98485,0.91882,0.40542,0.89239,0.91275,0.000515,0.000515,0.000515
77,517.138,0.57383,0.79923,1.02565,0.99728,0.96226,0.98485,0.91882,0.40542,0.89239,0.91275,0.0004952,0.0004952,0.0004952
78,523.801,0.55254,0.79934,1.03137,0.99773,0.98113,0.98873,0.92201,0.40461,0.91844,0.91008,0.0004754,0.0004754,0.0004754
79,530.443,0.54255,0.72813,0.9854,0.99708,0.98113,0.98866,0.91969,0.4032,0.90601,0.90537,0.0004556,0.0004556,0.0004556
80,537.093,0.60313,0.83922,1.08563,0.99555,0.98113,0.99124,0.92245,0.40174,0.9061,0.90429,0.0004358,0.0004358,0.0004358
81,543.701,0.5213,0.75499,1.04669,0.99555,0.98113,0.99124,0.92245,0.40174,0.9061,0.90429,0.000416,0.000416,0.000416
82,550.363,0.51813,0.68252,0.98638,0.96166,0.98113,0.9901,0.91451,0.39963,0.93227,0.90428,0.0003962,0.0003962,0.0003962
83,557.052,0.55306,0.77905,1.03391,0.96236,0.98113,0.98841,0.91049,0.39966,0.90942,0.90727,0.0003764,0.0003764,0.0003764
84,563.701,0.52252,0.74064,1.01288,0.96227,0.98113,0.99086,0.92686,0.39509,0.88687,0.90532,0.0003566,0.0003566,0.0003566
85,570.307,0.54271,0.76769,1.03046,0.96227,0.98113,0.99086,0.92686,0.39509,0.88687,0.90532,0.0003368,0.0003368,0.0003368
86,576.837,0.58326,0.73182,1.06833,0.97681,1,0.99407,0.93145,0.39339,0.87629,0.89807,0.000317,0.000317,0.000317
87,583.397,0.56499,0.75201,1.01253,0.9974,1,0.995,0.93542,0.38364,0.84287,0.88713,0.0002972,0.0002972,0.0002972
88,590.018,0.50369,0.6995,0.99965,0.99674,1,0.995,0.9392,0.36736,0.81688,0.87503,0.0002774,0.0002774,0.0002774
89,596.633,0.5178,0.76419,0.99568,0.99674,1,0.995,0.9392,0.36736,0.81688,0.87503,0.0002576,0.0002576,0.0002576
90,603.169,0.4913,0.68389,0.97812,0.99863,1,0.995,0.94206,0.34968,0.79005,0.86066,0.0002378,0.0002378,0.0002378
91,609.773,0.42217,0.93156,0.95435,0.99901,1,0.995,0.94525,0.33486,0.77135,0.85124,0.000218,0.000218,0.000218
92,616.317,0.39333,0.95316,0.91651,0.99958,1,0.995,0.95433,0.33062,0.75608,0.84867,0.0001982,0.0001982,0.0001982
93,622.967,0.37268,0.88484,0.90117,0.99958,1,0.995,0.95433,0.33062,0.75608,0.84867,0.0001784,0.0001784,0.0001784
94,629.919,0.3804,0.89705,0.93765,1,0.99856,0.995,0.95347,0.31885,0.74445,0.84596,0.0001586,0.0001586,0.0001586
95,636.557,0.41284,0.91034,0.92471,0.99924,1,0.995,0.95161,0.31857,0.74514,0.84696,0.0001388,0.0001388,0.0001388
96,643.075,0.37819,0.83419,0.88887,0.99971,1,0.995,0.94933,0.31872,0.74555,0.8477,0.000119,0.000119,0.000119
97,649.644,0.35512,0.8462,0.93713,0.99971,1,0.995,0.94933,0.31872,0.74555,0.8477,9.92e-05,9.92e-05,9.92e-05
98,656.117,0.35343,0.78834,0.90393,1,0.99987,0.995,0.96108,0.31663,0.74673,0.84672,7.94e-05,7.94e-05,7.94e-05
99,662.566,0.35797,0.8333,0.89646,1,0.99951,0.995,0.96098,0.31715,0.75163,0.84691,5.96e-05,5.96e-05,5.96e-05
100,669.097,0.34783,0.77737,0.86946,1,0.99943,0.995,0.95894,0.31581,0.75437,0.8457,3.98e-05,3.98e-05,3.98e-05
